id;start_date;end_date;language
1;2019-08-29T13:44:23;2019-08-29T08:33:57;ENGLISH
2;2019-08-29T02:48:08;2019-08-28T18:16:18;PORTUGUESE
3;2019-08-29T13:08:00;2019-08-28T16:10:26;ENGLISH
4;2019-08-28T23:33:13;2019-08-28T16:15:43;ENGLISH
5;2019-08-29T03:49:45;2019-08-28T19:21:30;PORTUGUESE
6;2019-08-28T19:08:13;2019-08-28T15:45:32;SPANISH
7;2019-08-29T13:09:45;2019-08-29T09:40:37;SPANISH
8;2019-08-29T13:53:31;2019-08-29T12:33:38;PORTUGUESE
9;2019-08-28T18:33:01;2019-08-28T22:28:07;ENGLISH
10;2019-08-29T08:34:14;2019-08-29T08:03:46;FRENCH
